Epoch,Batch Time,Data Time,Loss,Prec@1,Prec@5,lr
323,0.592,0.515,0.02846,99.5316,100.0,0.001
324,0.59,0.511,0.01811,99.5316,100.0,0.001
325,0.599,0.52,0.01567,99.2974,100.0,0.001
326,0.589,0.51,0.03655,99.0632,100.0,0.001
327,0.583,0.504,0.02864,99.2974,100.0,0.001
328,0.595,0.517,0.02006,99.5316,100.0,0.001
329,0.586,0.508,0.03248,98.829,100.0,0.001
330,0.583,0.505,0.03708,98.829,100.0,0.001
331,0.588,0.51,0.02148,99.5316,100.0,0.001
332,0.584,0.506,0.0136,99.7658,100.0,0.001
333,0.584,0.505,0.01161,99.7658,100.0,0.001
334,0.589,0.511,0.01564,99.5316,100.0,0.001
335,0.601,0.521,0.03346,98.829,100.0,0.001
336,0.589,0.509,0.0251,99.2974,100.0,0.001
337,0.587,0.509,0.0355,98.829,100.0,0.001
338,0.58,0.501,0.02811,99.5316,100.0,0.001
339,0.596,0.516,0.01792,99.7658,100.0,0.001
340,0.593,0.514,0.02053,99.5316,100.0,0.001
341,0.583,0.505,0.01608,99.5316,100.0,0.001
342,0.581,0.503,0.01948,99.5316,100.0,0.001
343,0.589,0.51,0.02896,99.2974,100.0,0.001
344,0.584,0.506,0.01703,99.5316,100.0,0.001
345,0.581,0.503,0.01263,99.7658,100.0,0.001
346,0.581,0.503,0.0325,99.0632,100.0,0.001
347,0.58,0.502,0.04026,98.5948,100.0,0.001
348,0.579,0.502,0.0272,99.0632,100.0,0.001
349,0.588,0.508,0.03689,99.0632,100.0,0.001
350,0.587,0.508,0.03927,98.5948,100.0,0.001
351,0.589,0.509,0.03792,98.5948,100.0,0.001
352,0.58,0.501,0.03609,98.5948,100.0,0.001
353,0.583,0.504,0.03543,98.829,100.0,0.001
354,0.582,0.503,0.0393,98.829,100.0,0.001
355,0.59,0.512,0.02669,98.829,100.0,0.001
356,0.583,0.502,0.06625,97.6581,100.0,0.001
357,0.58,0.502,0.03577,98.829,100.0,0.001
358,0.586,0.507,0.04377,99.0632,100.0,0.001
359,0.583,0.502,0.03473,99.0632,100.0,0.001
360,0.586,0.505,0.01738,99.2974,100.0,0.001
361,0.586,0.507,0.03445,98.829,100.0,0.001
362,0.58,0.502,0.02073,99.7658,100.0,0.001
363,0.581,0.503,0.02631,99.2974,100.0,0.001
364,0.581,0.504,0.04214,98.5948,100.0,0.001
365,0.575,0.497,0.04015,97.8923,100.0,0.001
366,0.584,0.505,0.02551,99.0632,100.0,0.001
367,0.591,0.511,0.04233,99.0632,100.0,0.001
368,0.583,0.505,0.01775,99.5316,100.0,0.001
369,0.587,0.508,0.01835,99.5316,100.0,0.001
370,0.587,0.506,0.03142,98.829,100.0,0.001
371,0.601,0.523,0.03767,98.829,100.0,0.001
372,0.584,0.504,0.02768,99.2974,100.0,0.001
373,0.577,0.5,0.01888,99.5316,100.0,0.001
374,0.58,0.502,0.01231,99.7658,100.0,0.001
375,0.582,0.504,0.01,99.7658,100.0,0.001
376,0.589,0.512,0.01935,99.0632,100.0,0.001
377,0.582,0.502,0.02845,99.0632,100.0,0.001
378,0.593,0.514,0.03267,99.0632,100.0,0.001
379,0.589,0.51,0.01407,99.7658,100.0,0.001
380,0.589,0.511,0.01755,99.2974,100.0,0.001
381,0.586,0.506,0.02034,99.2974,100.0,0.001
382,0.586,0.506,0.03294,99.0632,100.0,0.001
383,0.582,0.502,0.02286,99.2974,100.0,0.001
384,0.586,0.508,0.02104,99.5316,100.0,0.001
385,0.588,0.51,0.02985,99.0632,100.0,0.001
386,0.589,0.51,0.02387,99.2974,100.0,0.001
387,0.584,0.505,0.0336,98.5948,100.0,0.001
388,0.586,0.507,0.01319,99.7658,100.0,0.001
389,0.584,0.506,0.04873,97.6581,100.0,0.001
390,0.593,0.515,0.03176,98.829,100.0,0.001
391,0.586,0.509,0.05953,97.8923,100.0,0.001
392,0.582,0.504,0.05042,98.1265,100.0,0.001
393,0.589,0.511,0.02729,99.2974,100.0,0.001
394,0.597,0.516,0.02193,99.0632,100.0,0.001
395,0.588,0.51,0.02076,99.5316,100.0,0.001
396,0.584,0.507,0.01357,99.7658,100.0,0.001
397,0.582,0.504,0.02184,99.2974,100.0,0.001
398,0.584,0.505,0.01345,99.7658,100.0,0.001
399,0.581,0.502,0.0315,99.0632,100.0,0.001
400,0.581,0.505,0.01735,99.5316,100.0,0.001
401,0.629,0.55,0.01232,99.5316,100.0,0.001
402,0.591,0.514,0.01233,99.7658,100.0,0.001
403,0.592,0.513,0.02685,98.829,100.0,0.001
404,0.593,0.515,0.03867,99.2974,100.0,0.001
405,0.589,0.51,0.02037,99.5316,100.0,0.001
406,0.594,0.516,0.0501,98.5948,100.0,0.001
407,0.6,0.522,0.05142,98.3607,100.0,0.001
408,0.59,0.512,0.02588,99.0632,100.0,0.001
409,0.588,0.508,0.03406,98.829,100.0,0.001
410,0.59,0.51,0.02603,99.0632,100.0,0.001
411,0.591,0.511,0.01588,99.5316,100.0,0.001
412,0.586,0.508,0.02429,98.829,100.0,0.001
413,0.583,0.505,0.01106,100.0,100.0,0.001
414,0.576,0.497,0.04242,98.3607,100.0,0.001
415,0.594,0.515,0.01974,99.5316,100.0,0.001
416,0.574,0.496,0.03218,99.2974,100.0,0.001
417,0.586,0.506,0.03106,98.5948,100.0,0.001
418,0.58,0.503,0.01525,99.5316,100.0,0.001
419,0.575,0.498,0.00799,99.7658,100.0,0.001
420,0.581,0.501,0.01346,99.7658,100.0,0.001
421,0.575,0.496,0.01629,99.5316,100.0,0.001
422,0.571,0.492,0.02124,99.5316,100.0,0.001
423,0.577,0.498,0.01356,99.5316,100.0,0.001
424,0.573,0.497,0.01484,99.5316,100.0,0.001
425,0.577,0.498,0.01196,99.5316,100.0,0.001
426,0.574,0.495,0.01627,99.2974,100.0,0.001
427,0.574,0.494,0.01661,99.5316,100.0,0.001
428,0.575,0.498,0.01583,99.2974,100.0,0.001
429,0.58,0.501,0.01091,99.7658,100.0,0.001
430,0.57,0.491,0.01352,99.2974,100.0,0.001
431,0.58,0.502,0.01156,100.0,100.0,0.001
432,0.575,0.498,0.02573,99.2974,100.0,0.001
433,0.574,0.496,0.0332,98.3607,100.0,0.001
434,0.57,0.491,0.01457,99.7658,100.0,0.001
435,0.574,0.496,0.02701,99.5316,100.0,0.001
436,0.572,0.493,0.01591,99.5316,100.0,0.001
437,0.569,0.49,0.0119,99.5316,100.0,0.001
438,0.582,0.504,0.00915,99.7658,100.0,0.001
439,0.579,0.501,0.02584,98.5948,100.0,0.001
440,0.575,0.496,0.01949,99.5316,100.0,0.001
441,0.575,0.498,0.02957,98.5948,100.0,0.001
442,0.576,0.498,0.01342,100.0,100.0,0.001
443,0.578,0.499,0.01959,99.2974,100.0,0.001
444,0.582,0.505,0.01499,99.5316,100.0,0.001
445,0.578,0.499,0.0155,99.5316,100.0,0.001
446,0.586,0.507,0.02291,99.2974,100.0,0.001
447,0.575,0.494,0.03122,98.829,100.0,0.001
448,0.578,0.5,0.02084,99.2974,100.0,0.001
449,0.583,0.496,0.02368,98.829,100.0,0.001
450,0.573,0.494,0.01825,99.2974,100.0,0.001
451,0.574,0.495,0.01761,99.2974,100.0,0.001
452,0.587,0.507,0.02249,99.0632,100.0,0.001
453,0.573,0.496,0.00923,100.0,100.0,0.001
454,0.577,0.499,0.01672,99.5316,100.0,0.001
455,0.578,0.499,0.01873,99.7658,100.0,0.001
456,0.573,0.495,0.01799,99.0632,100.0,0.001
457,0.578,0.5,0.00781,100.0,100.0,0.001
